Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Severe combined immunodeficiency due to adenosine deaminase deficiency,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
NDE1-related microhydranencephaly,{'Deletion': '17.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '83.0%'}
Focal stiff limb syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
DNAJB2-related Charcot-Marie-Tooth disease type 2,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Ventriculomegaly-cystic kidney disease,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Autoimmune interstitial lung disease-arthritis syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal dominant spastic paraplegia type 73,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
11q22.2q22.3 microdeletion syndrome,{'Deletion': '21.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '73.0%'}
Mandibulofacial dysostosis with alopecia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
46,XX ovarian dysgenesis-short stature syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
20q11.2 microdeletion syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome,{'Deletion': '6.0%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '83.0%'}
Cerebellar-facial-dental syndrome,{'Deletion': '11.0%', 'Duplication': '0.0%', 'Indel': '11.0%', 'Insertion': '11.0%', 'Single nucleotide': '67.0%'}
Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Familial chylomicronemia syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '91.0%'}
Combined oxidative phosphorylation defect type 24,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Limb-girdle muscular dystrophy due to POMK deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
3-methylglutaconic aciduria type 7,{'Deletion': '11.0%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '11.0%', 'Single nucleotide': '74.0%'}
Combined immunodeficiency due to LRBA deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
NIK deficiency,{'Deletion': '0.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '97.0%'}
Idiopathic dropped head syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Tremor-ataxia-central hypomyelination syndrome,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '93.0%'}
Hypomyelination-cerebellar atrophy-hypoplasia of the corpus callosum syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Cerebral visual impairment,{'Deletion': '8.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Lipoyl transferase 2 deficiency,{'Deletion': '11.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '89.0%'}
Mitochondrial pyruvate carrier deficiency,{'Deletion': '17.0%', 'Duplication': '39.0%', 'Indel': '0.0%', 'Insertion': '11.0%', 'Single nucleotide': '33.0%'}
Autosomal dominant spastic paraplegia type 9B,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Autosomal dominant spastic paraplegia type 9A,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Autosomal recessive spastic paraplegia type 9B,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
PRKAR1B-related neurodegenerative dementia with intermediate filaments,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal recessive cerebellar ataxia due to STUB1 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Epidermolysis bullosa simplex due to BP230 deficiency,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Epidermolysis bullosa simplex due to exophilin 5 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dystonia-aphonia syndrome,{'Deletion': '0.0%', 'Duplication': '9.0%', 'Indel': '0.0%', 'Insertion': '9.0%', 'Single nucleotide': '82.0%'}
Squamous cell carcinoma of the stomach,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Carcinoma of esophagus, salivary gland type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Malan overgrowth syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Bilirubin encephalopathy,{'Deletion': '0.0%', 'Duplication': '33.0%', 'Indel': '0.0%', 'Insertion': '33.0%', 'Single nucleotide': '33.0%'}
Autoimmune encephalopathy with parasomnia and obstructive sleep apnea,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Cono-spondylar dysplasia,{'Deletion': '9.0%', 'Duplication': '7.000000000000001%', 'Indel': '4.0%', 'Insertion': '11.0%', 'Single nucleotide': '69.0%'}
Autosomal recessive severe congenital neutropenia due to CSF3R deficiency,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Combined oxidative phosphorylation defect type 20,{'Deletion': '17.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '83.0%'}
RIDDLE syndrome,{'Deletion': '10.0%', 'Duplication': '10.0%', 'Indel': '0.0%', 'Insertion': '10.0%', 'Single nucleotide': '70.0%'}
Adult-onset cervical dystonia, DYT23 type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Semicircular canal dehiscence syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Glycogen storage disease due to acid maltase deficiency, late-onset,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '84.0%'}
Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Woolly hair-palmoplantar keratoderma syndrome,{'Deletion': '0.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '98.0%'}
Temple-Baraitser syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Severe combined immunodeficiency due to CTPS1 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Bleeding disorder due to CalDAG-GEFI deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Mucolipidosis type III alpha/beta,{'Deletion': '10.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '80.0%'}
Mucolipidosis type III gamma,{'Deletion': '13.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '77.0%'}
Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal recessive severe congenital neutropenia due to JAGN1 deficiency,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Spinocerebellar ataxia type 38,{'Deletion': '0.0%', 'Duplication': '9.0%', 'Indel': '0.0%', 'Insertion': '9.0%', 'Single nucleotide': '83.0%'}
Microcephaly-short stature-intellectual disability-facial dysmorphism syndrome,{'Deletion': '18.0%', 'Duplication': '18.0%', 'Indel': '0.0%', 'Insertion': '18.0%', 'Single nucleotide': '47.0%'}
X-linked intellectual disability-limb spasticity-retinal dystrophy-diabetes insipidus syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hereditary clear cell renal cell carcinoma,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '93.0%'}
Spinocerebellar ataxia type 40,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Solid pseudopapillary carcinoma of pancreas,{'Deletion': '11.0%', 'Duplication': '7.000000000000001%', 'Indel': '0.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '75.0%'}
Osteoclastic giant cell tumor of pancreas,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Serous cystadenocarcinoma of pancreas,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Congenital myopathy with myasthenic-like onset,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Colobomatous microphthalmia-rhizomelic dysplasia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
TOR1AIP1-related limb-girdle muscular dystrophy,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '2.0%', 'Insertion': '2.0%', 'Single nucleotide': '89.0%'}
Adenocarcinoma of the anal canal,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Progressive myoclonic epilepsy type 8,{'Deletion': '3.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Squamous cell carcinoma of the anal canal,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Squamous cell carcinoma of pancreas,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
Mucinous cystadenocarcinoma of the pancreas,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Acinar cell carcinoma of pancreas,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Squamous cell carcinoma of the small intestine,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '98.0%'}
Squamous cell carcinoma of the colon,{'Deletion': '4.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Squamous cell carcinoma of the rectum,{'Deletion': '12.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '88.0%'}
Undifferentiated carcinoma of stomach,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
X-linked colobomatous microphthalmia-microcephaly-intellectual disability-short stature syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
STING-associated vasculopathy with onset in infancy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Adenocarcinoma of the liver and intrahepatic biliary tract,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Undifferentiated carcinoma of liver and intrahepatic biliary tract,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Adenocarcinoma of the gallbladder and extrahepatic biliary tract,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Squamous cell carcinoma of gallbladder and extrahepatic biliary tract,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Squamous cell carcinoma of liver and intrahepatic biliary tract,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Biliary cystadenocarcinoma,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Progressive encephalopathy with leukodystrophy due to DECR deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Pulmonary veno-occlusive disease and/or pulmonary capillary haemangiomatosis,{'Deletion': '16.0%', 'Duplication': '9.0%', 'Indel': '1.0%', 'Insertion': '13.0%', 'Single nucleotide': '62.0%'}
Patent urachus,{'Deletion': '15.0%', 'Duplication': '10.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '72.0%'}
Urachal sinus,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
X-linked scapuloperoneal muscular dystrophy,{'Deletion': '5.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Autosomal recessive spastic paraplegia type 57,{'Deletion': '4.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '86.0%'}
Scapuloperoneal spinal muscular atrophy,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Combined immunodeficiency due to OX40 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Progressive myoclonic epilepsy type 7,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Autosomal dominant Charcot-Marie-Tooth disease type 2Y,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Familial ossifying fibroma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Orofaciodigital syndrome type 14,{'Deletion': '60.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '40.0%'}
Cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Combined immunodeficiency due to Moesin deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Very long chain acyl-CoA dehydrogenase deficiency,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '80.0%'}
Hereditary pheochromocytoma-paraganglioma,{'Deletion': '14.000000000000002%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '79.0%'}
Tyrosinemia type 2,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '95.0%'}
Reactive arthritis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Multiple myeloma,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Spontaneous periodic hypothermia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Apparent mineralocorticoid excess,{'Deletion': '19.0%', 'Duplication': '3.0%', 'Indel': '3.0%', 'Insertion': '6.0%', 'Single nucleotide': '69.0%'}
Idiopathic acute eosinophilic pneumonia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dopamine beta-hydroxylase deficiency,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '96.0%'}
Continuous spikes and waves during sleep,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Congenital myasthenic syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Familial hyperaldosteronism type II,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Pseudohypoaldosteronism type 1,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Diffuse large B-cell lymphoma,{'Deletion': '0.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '85.0%'}
Follicular lymphoma,{'Deletion': '21.0%', 'Duplication': '21.0%', 'Indel': '0.0%', 'Insertion': '21.0%', 'Single nucleotide': '36.0%'}
Idiopathic aplastic anemia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Multiple system atrophy,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Primary myelofibrosis,{'Deletion': '19.0%', 'Duplication': '6.0%', 'Indel': '6.0%', 'Insertion': '12.0%', 'Single nucleotide': '56.00000000000001%'}
Mendelian susceptibility to mycobacterial diseases,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Polycythemia vera,{'Deletion': '15.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '85.0%'}
X-linked myopathy with excessive autophagy,{'Deletion': '6.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '94.0%'}
Juvenile temporal arteritis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hereditary diffuse gastric cancer,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Ventilator-induced diaphragmatic dysfunction,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Benign occipital epilepsy,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '1.0%', 'Insertion': '1.0%', 'Single nucleotide': '97.0%'}
Pseudomyxoma peritonei,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Short chain acyl-CoA dehydrogenase deficiency,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '85.0%'}
Multiple acyl-CoA dehydrogenase deficiency,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Penile agenesis,{'Deletion': '8.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '77.0%'}
Diphallia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Accessory pancreas,{'Deletion': '20.0%', 'Duplication': '67.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '13.0%'}
